"filename", "language", "JSON", "HTML", "C++", "Markdown", "YAML", "Dart", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 1, 45
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\mixin\pomodoro_operation_mixin.dart", "Dart", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 20, 121
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\mixin\theme_operation_mixin.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\mixin\voices_operation_mixin.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\view\home\home_view.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 11, 72
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\view\home\menu_view.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 5, 33
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\view\pomodoro\pomodoro_view.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 10, 92
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\view\theme\theme_view.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 1, 8, 92
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\features\view\voice\voices_view.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 7, 81
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\enum\clock_text_enum.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\init\lang\locale_keys.g.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\init\theme\theme.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\init\theme\theme_colors.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\model\audio_model.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\model\image_model.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\model\theme_model.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\model\timer_model.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\utils\shared_preferences_utils.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\utils\snackbar.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
